Designator,Mid X,Mid Y,Rotation,Layer
C1,122.655,-56.095,0.0,top
C10,118.610065,-60.6922,270.0,top
C11,114.21,-51.36,90.0,top
C12,114.215,-53.255,90.0,top
C13,156.5965,-84.9105,270.0,top
C14,156.6125,-89.1875,90.0,top
C2,161.3,-58.95,90.0,top
C3,148.905,-102.4,90.0,top
C4,126.841065,-65.1152,0.0,top
C5,122.15,-113.751,180.0,top
C6,122.15,-129.486,180.0,top
C7,153.392,-122.35,270.0,top
C8,122.15,-121.356,180.0,top
C9,118.610065,-62.5722,90.0,top
D1,119.3625,-87.497,180.0,top
D2,119.3825,-79.627,180.0,top
D3,119.3825,-77.15,180.0,top
D4,119.3825,-69.39,180.0,top
D5,116.120065,-61.6322,0.0,top
D6,111.735,-52.305,0.0,top
J1,112.7,-75.1,270.0,top
J2,115.06,-56.405,270.0,top
J3,119.198465,-65.3542,270.0,top
Q1,120.595,-73.25,180.0,top
Q2,120.575,-83.557,180.0,top
Q3,120.56,-105.28,180.0,top
R1,118.645,-56.095,180.0,top
R10,125.9875,-86.557,180.0,top
R11,125.9875,-84.557,180.0,top
R12,125.9875,-82.557,180.0,top
R13,125.9875,-80.557,180.0,top
R14,126.0075,-76.25,180.0,top
R15,126.0075,-74.25,180.0,top
R16,126.0075,-72.25,180.0,top
R17,126.0075,-70.25,180.0,top
R18,153.9125,-90.0875,180.0,top
R19,153.9125,-88.0875,0.0,top
R2,151.11,-108.4,90.0,top
R21,153.906,-83.9825,180.0,top
R22,153.906,-85.9825,0.0,top
R24,115.725,-52.735,90.0,top
R25,120.062065,-61.7982,90.0,top
R26,122.791065,-65.1352,180.0,top
R27,129.14,-101.1775,90.0,top
R28,131.24,-101.1775,90.0,top
R29,128.93,-90.0675,90.0,top
R3,153.65,-108.4,90.0,top
R30,130.97,-90.0675,90.0,top
R31,121.02,-97.6575,270.0,top
R32,126.33,-100.4375,180.0,top
R33,121.02,-94.1575,270.0,top
R34,126.12,-90.8175,0.0,top
R4,156.19,-108.4,90.0,top
R5,158.73,-108.4,90.0,top
R6,152.38,-96.4,90.0,top
R7,154.92,-96.4,90.0,top
R8,157.46,-96.4,90.0,top
R9,160.0,-96.4,90.0,top
S1,126.5,-95.69,0.0,top
U1,151.18,-74.49,270.0,top
U2,120.665,-52.285,180.0,top
U3,131.853,-121.9075,0.0,top
U4,155.555,-102.4,90.0,top
U5,124.817465,-61.2902,180.0,top
U6,131.82,-112.2,0.0,top
U7,156.03,-78.705,0.0,top
U8,140.08,-76.9,0.0,top
