Designator,Mid X,Mid Y,Rotation,Layer
C1,140.900000,-60.500000,-90.000000,top
C2,147.250000,-55.750000,90.000000,top
C3,160.500000,-82.150000,180.000000,top
C5,132.750000,-110.500000,-90.000000,top
C6,146.250000,-110.300000,90.000000,top
C7,162.500000,-110.500000,-90.000000,top
C8,140.500000,-110.500000,-90.000000,top
J1,112.700000,-75.100000,-90.000000,top
Q1,120.500000,-88.750000,270,top
Q2,120.500000,-97.000000,270,top
Q3,122.500000,-110.500000,180.000000,top
R1,143.000000,-60.500000,-90.000000,top
R2,166.500000,-79.945000,180.000000,top
R3,166.500000,-77.405000,180.000000,top
R4,166.500000,-74.865000,180.000000,top
R5,166.500000,-72.325000,180.000000,top
R6,154.500000,-78.675000,180.000000,top
R7,154.500000,-76.135000,180.000000,top
R8,154.500000,-73.595000,180.000000,top
R9,154.500000,-71.055000,180.000000,top
R10,125.912500,-100.000000,180.000000,top
R11,125.912500,-98.000000,180.000000,top
R12,125.912500,-96.000000,180.000000,top
R13,125.912500,-94.000000,180.000000,top
R14,125.912500,-91.750000,180.000000,top
R15,125.912500,-89.750000,180.000000,top
R16,125.912500,-87.750000,180.000000,top
R17,125.912500,-85.750000,180.000000,top
R18,145.750000,-86.750000,180.000000,top
R19,145.750000,-84.750000,0.000000,top
R20,143.000000,-85.750000,90.000000,top
R21,145.750000,-79.750000,180.000000,top
R22,145.750000,-81.750000,0.000000,top
R23,143.000000,-80.750000,-90.000000,top
R24,102.800000,-79.050000,90.000000,top
S1,124.250000,-77.750000,0.000000,top
U1,142.000000,-71.000000,-90.000000,top
U2,140.225000,-65.250000,0.000000,top
U3,150.600000,-104.000000,0.000000,top
U4,160.500000,-75.500000,270,top
