Designator, Quantity,Comment, Footprint, LCSC
C1 ,1,100nF,Capacitor_SMD:C_0805_2012Metric,C49678
C2 C3 C6 ,3,10uF,Capacitor_SMD:C_0805_2012Metric,C15850
C5 C7 C8 ,3,100uF,Capacitor_SMD:C_Elec_6.3x7.7,C5155339
J1 ,1,5007620481,Molex_5007620481:5007620481,
Q1 Q2 ,2,BSO615NG,JoeMBMS:SO-8_IRF956,C693398
Q3 ,1,P-Chanel Mosfet,Package_TO_SOT_SMD:TO-252-2,C416264
R1 R6 R7 R8 R9 R10 R12 R14 R16 R18 R19 R20 R21 R22 R23 ,15,10k,Resistor_SMD:R_0805_2012Metric,C17414
R11 R13 R15 R17 ,4,220,Resistor_SMD:R_0805_2012Metric,C17557
R2 R3 R4 R5 ,4,4.7k,Resistor_SMD:R_0805_2012Metric,C17673
R24 ,1,120,Resistor_SMD:R_0805_2012Metric,C17437
S1 ,1,BTS5200-4,MRV_SMD_Packages:PG-DSO-14-40_EP,
U1 ,1,Teensy3.2,Teensy:Teensy30_31_32_LC_Mod,
U2 ,1,SN65HVD251,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C7376
U3 ,1,DCDC 5V,Converter_DCDC:Converter_DCDC_muRata_OKI-78SR_Vertical,C115916
U4 ,1,IS281-4 ,TLP2934:TLP293-4,C89878
