Designator,Val,Package,Mid X,Mid Y,Rot,Side
C1,100nF,C_0805_2012Metric,139.446000,-135.636000,270.000000,top
C2,10uF,C_0805_2012Metric,137.160000,-135.636000,270.000000,top
C3,10uF,C_0805_2012Metric,159.766000,-117.856000,270.000000,top
C4,10uF,C_0805_2012Metric,179.324000,-122.174000,270.000000,top
C5,100uF,C_Elec_6.3x7.7,209.296000,-143.764000,180.000000,top
C6,10uF,C_0805_2012Metric,206.248000,-127.508000,180.000000,top
C7,100uF,C_Elec_6.3x7.7,186.944000,-119.126000,270.000000,top
C8,100uF,C_Elec_6.3x7.7,209.296000,-133.604000,180.000000,top
Q1,ACPL-227-500E,Broadcom-SO-8-0-0-IPC_C_,175.514000,-120.142000,270.000000,top
Q2,ACPL-227-500E,Broadcom-SO-8-0-0-IPC_C_,163.830000,-120.142000,270.000000,top
Q3,IRF9956,SO-8_IRF956,199.644000,-144.526000,270.000000,top
Q4,IRF9956,SO-8_IRF956,190.500000,-144.526000,270.000000,top
Q5,068P03L,TO-252-2,208.280000,-154.872000,270.000000,top
R1,10k,R_0805_2012Metric,141.732000,-135.636000,270.000000,top
R2,4.7K,R_0805_2012Metric,179.324000,-118.618000,90.000000,top
R3,4.7k,R_0805_2012Metric,171.704000,-117.856000,90.000000,top
R4,4.7k,R_0805_2012Metric,165.608000,-115.062000,0.000000,top
R5,4.7k,R_0805_2012Metric,162.052000,-115.062000,0.000000,top
R6,10k,R_0805_2012Metric,177.292000,-125.222000,180.000000,top
R7,10k,R_0805_2012Metric,173.736000,-125.222000,0.000000,top
R8,10k,R_0805_2012Metric,165.608000,-125.222000,180.000000,top
R9,10k,R_0805_2012Metric,162.052000,-125.222000,0.000000,top
R10,10k,R_0805_2012Metric,202.692000,-138.938000,270.000000,top
R11,220,R_0805_2012Metric,200.660000,-138.938000,270.000000,top
R12,10k,R_0805_2012Metric,198.628000,-138.938000,270.000000,top
R13,220,R_0805_2012Metric,196.596000,-138.938000,270.000000,top
R14,10k,R_0805_2012Metric,193.548000,-138.938000,270.000000,top
R15,220,R_0805_2012Metric,191.516000,-138.938000,270.000000,top
R16,10k,R_0805_2012Metric,189.484000,-138.938000,270.000000,top
R17,220,R_0805_2012Metric,187.452000,-138.938000,270.000000,top
R18,10k,R_0805_2012Metric,159.893000,-133.553200,270.000000,top
R19,10k,R_0805_2012Metric,162.433000,-133.553200,90.000000,top
R20,10k,R_0805_2012Metric,161.925000,-136.398000,180.000000,top
R21,10k,R_0805_2012Metric,167.894000,-133.553200,270.000000,top
R22,10k,R_0805_2012Metric,165.354000,-133.553200,90.000000,top
R23,10k,R_0805_2012Metric,165.608000,-136.398000,0.000000,top
S1,BTS5200-4,PG-DSO-14-40_EP,179.324000,-140.970000,180.000000,top
U2,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,146.050000,-137.668000,0.000000,top
