Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C2,10uF,C_0805_2012Metric,102.285800,-98.653600,180.000000,top
C3,10uF,C_0805_2012Metric,143.510000,-84.201000,0.000000,top
C5,100uF,C_Elec_6.3x7.7,173.736000,-101.828600,180.000000,top
C6,10uF,C_0805_2012Metric,167.894000,-90.170000,270.000000,top
C7,100uF,C_Elec_6.3x7.7,152.654000,-85.725000,270.000000,top
C8,100uF,C_Elec_6.3x7.7,173.736000,-94.234000,180.000000,top
Q3,BSO615NG,SO-8_IRF956,165.354000,-111.125000,270.000000,top
Q4,BSO615NG,SO-8_IRF956,156.210000,-111.125000,270.000000,top
Q5,P-Chanel Mosfet,TO-252-2,173.990000,-113.919000,270.000000,top
R1,10k,R_0805_2012Metric,107.061000,-102.006400,0.000000,top
R2,4.7k,R_0805_2012Metric,142.494000,-81.407000,270.000000,top
R3,4.7k,R_0805_2012Metric,138.938000,-81.407000,270.000000,top
R4,4.7k,R_0805_2012Metric,135.255000,-81.407000,270.000000,top
R5,4.7k,R_0805_2012Metric,131.445000,-81.407000,270.000000,top
R6,10k,R_0805_2012Metric,141.351000,-92.329000,0.000000,top
R7,10k,R_0805_2012Metric,137.922000,-92.329000,0.000000,top
R8,10k,R_0805_2012Metric,134.493000,-92.329000,0.000000,top
R9,10k,R_0805_2012Metric,131.064000,-92.329000,0.000000,top
R10,10k,R_0805_2012Metric,168.402000,-105.537000,270.000000,top
R11,220,R_0805_2012Metric,166.370000,-105.537000,270.000000,top
R12,10k,R_0805_2012Metric,164.338000,-105.537000,270.000000,top
R13,220,R_0805_2012Metric,162.306000,-105.537000,270.000000,top
R14,10k,R_0805_2012Metric,159.258000,-105.537000,270.000000,top
R15,220,R_0805_2012Metric,157.226000,-105.537000,270.000000,top
R16,10k,R_0805_2012Metric,155.194000,-105.537000,270.000000,top
R17,220,R_0805_2012Metric,153.162000,-105.537000,270.000000,top
R18,10k,R_0805_2012Metric,133.629400,-100.126800,270.000000,top
R19,10k,R_0805_2012Metric,130.937000,-100.126800,90.000000,top
R20,10k,R_0805_2012Metric,131.521200,-102.920800,0.000000,top
R21,10k,R_0805_2012Metric,125.603000,-100.126800,270.000000,top
R22,10k,R_0805_2012Metric,128.168400,-100.126800,90.000000,top
R23,10k,R_0805_2012Metric,127.660400,-102.895400,180.000000,top
R24,120,R_0805_2012Metric,107.340400,-93.878400,0.000000,top
U2,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,111.760000,-104.267000,90.000000,top
U4,IS281-4 ,TLP293-4,135.890000,-87.249000,270.000000,top
