Reference, Quantity, Value, Footprint, Datasheet, LCSC
C1 ,1,"100nF","Capacitor_SMD:C_0805_2012Metric","~"
C2 C3 C6 ,3,"10uF","Capacitor_SMD:C_0805_2012Metric","~","C15850"
C5 C7 C8 ,3,"100uF","Capacitor_SMD:C_Elec_6.3x7.7","~","C127971"
J1 ,1,"Tesla_BMS","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical","~","C29973"
J2 ,1,"Analog_Sens","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical","~","C29973"
J4 ,1,"OUT_PWR","Connector_Molex:Molex_Mini-Fit_Jr_5566-16A_2x08_P4.20mm_Vertical","~","C98644"
J5 ,1,"IN_COMM","Connector_Molex:Molex_Mini-Fit_Jr_5566-10A_2x05_P4.20mm_Vertical","~","C169060"
JP1 ,1,"Jumper_3_Bridged12","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical","~"
Q3 Q4 ,2,"BSO615NG","JoeMBMS:SO-8_IRF956","","C693398"
Q5 ,1,"P-Chanel Mosfet","Package_TO_SOT_SMD:TO-252-2","","C416264"
R1 R6 R7 R8 R9 R10 R12 R14 R16 R18 R19 R20 R21 R22 R23 ,15,"10k","Resistor_SMD:R_0805_2012Metric","~","C17414"
R11 R13 R15 R17 ,4,"220","Resistor_SMD:R_0805_2012Metric","~","C17557"
R24 ,1,"120","Resistor_SMD:R_0805_2012Metric","~","C111022"
R2 R3 R4 R5 ,4,"4.7k","Resistor_SMD:R_0805_2012Metric","~","C17673"
S1 ,1,"BTS5200-4","MRV_SMD_Packages:PG-DSO-14-40_EP",""
U1 ,1,"Teensy3.2","Teensy:Teensy30_31_32_LC_Mod",""
U2 ,1,"SN65HVD230","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf","C12084"
U3 ,1,"DCDC 5V","Converter_DCDC:Converter_DCDC_muRata_OKI-78SR_Vertical","https://www.recom-power.com/pdf/Innoline/R-78Exx-0.5.pdf","C115916"
U4 ,1,"IS281-4 ","footprints:TLP293-4","","C89878"
