Comment,Designator, Footprint, LCSC
100nF,C1 ,Capacitor_SMD:C_0805_2012Metric,C49678
10uF,C2 C3 C6 ,Capacitor_SMD:C_0805_2012Metric,C15850
100uF,C5 C7 C8 ,Capacitor_SMD:C_Elec_6.3x7.7,C127971
5007620481,J1 ,Molex_5007620481:5007620481,
BSO615NG,Q1 Q2 ,JoeMBMS:SO-8_IRF956,C693398
P-Chanel Mosfet,Q3 ,Package_TO_SOT_SMD:TO-252-2,C416264
10k,R1 R6 R7 R8 R9 R10 R12 R14 R16 R18 R19 R20 R21 R22 R23 ,Resistor_SMD:R_0805_2012Metric,C17414
220,R11 R13 R15 R17 ,Resistor_SMD:R_0805_2012Metric,C17557
120,R24 ,Resistor_SMD:R_0805_2012Metric,C111022
4.7k,R2 R3 R4 R5 ,Resistor_SMD:R_0805_2012Metric,C17673
BTS5200-4,S1 ,MRV_SMD_Packages:PG-DSO-14-40_EP,
Teensy3.2,U1 ,Teensy:Teensy30_31_32_LC_Mod,
SN65HVD230,U2 ,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C12084
DCDC 5V,U3 ,Converter_DCDC:Converter_DCDC_muRata_OKI-78SR_Vertical,C115916
IS281-4 ,U4 ,TLP2934:TLP293-4,C89878
