Comment,Designator,Footprint,LCSC
"100nF","C1","Capacitor_SMD:C_0805_2012Metric",""
"10uF","C2,C3,C4,C6","Capacitor_SMD:C_0805_2012Metric","C15850"
"100uF","C5,C7,C8","Capacitor_SMD:C_Elec_6.3x7.7","C127971"
"Tesla_BMS","J1","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical",""
"Analog_Sens","J2","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical",""
"OUT_PWR","J4","Connector_Molex:Molex_Mini-Fit_Jr_5566-16A_2x08_P4.20mm_Vertical",""
"IN_COMM","J5","Connector_Molex:Molex_Mini-Fit_Jr_5566-10A_2x05_P4.20mm_Vertical",""
"ACPL-227-500E","Q1,Q2","eec:Broadcom-SO-8-0-0-IPC_C_",""
"IRF9956","Q3,Q4","JoeMBMS:SO-8_IRF956",""
"068P03L","Q5","Package_TO_SOT_SMD:TO-252-2",""
"10k","R1,R6,R7,R8,R9,R10,R12,R14,R16,R18,R19,R20,R21,R22,R23","Resistor_SMD:R_0805_2012Metric","C17414"
"220","R11,R13,R15,R17","Resistor_SMD:R_0805_2012Metric","C17557"
"4.7K","R2","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7k","R3,R4,R5","Resistor_SMD:R_0805_2012Metric","C17673"
"BTS5200-4","S1","MRV_SMD_Packages:PG-DSO-14-40_EP",""
"Teensy3.2","U1","Teensy:Teensy30_31_32_LC_Mod",""
"SN65HVD230","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"R-78E5.0-0.5","U3","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT",""
